user,image_a,image_b,filter_a,filter_b,intensity_a,intensity_b,selected_filter,selected_intensity,resptime
yes,Girl1_OG.jpg,Girl1_Lark_100.jpg,OG,Lark,0,100,OG,0,12.361495
yes,Ocean_Juno_75.jpg,Ocean_Clarendon_75.jpg,Juno,Clarendon,75,75,Clarendon,75,1.324099
yes,Ocean_Clarendon_75.jpg,Ocean_OG.jpg,Clarendon,OG,75,0,Clarendon,75,1.677947
yes,Ocean_Lark_25.jpg,Ocean_Lark_75.jpg,Lark,Lark,25,75,Lark,25,1.927135
yes,Girl1_Lark_100.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,100,25,Clarendon,25,1.333155
yes,Ocean_Juno_100.jpg,Ocean_Lark_75.jpg,Juno,Lark,100,75,Lark,75,1.563552
yes,Ocean_Lark_75.jpg,Ocean_OG.jpg,Lark,OG,75,0,OG,0,1.58211
yes,Ocean_Juno_100.jpg,Ocean_Juno_25.jpg,Juno,Juno,100,25,Juno,25,1.082676
yes,Girl1_Juno_50.jpg,Girl1_Lark_75.jpg,Juno,Lark,50,75,Lark,75,1.931316
yes,Ocean_Clarendon_100.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,100,25,Lark,25,2.552312
yes,Ocean_Juno_50.jpg,Ocean_Clarendon_25.jpg,Juno,Clarendon,50,25,Clarendon,25,1.376594
yes,Girl1_Clarendon_25.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,25,100,Clarendon,25,5.647405
yes,Girl1_Clarendon_100.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,100,50,Lark,50,5.219689
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,25,50,Clarendon,25,2.367454
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_50.jpg,Lark,Clarendon,75,50,Clarendon,50,0.89688
yes,Ocean_Lark_50.jpg,Ocean_Juno_50.jpg,Lark,Juno,50,50,Juno,50,1.418678
yes,Girl1_Juno_75.jpg,Girl1_Lark_75.jpg,Juno,Lark,75,75,Lark,75,3.515958
yes,Ocean_Lark_100.jpg,Ocean_Juno_75.jpg,Lark,Juno,100,75,Juno,75,1.067162
yes,Girl1_Lark_100.jpg,Girl1_Lark_75.jpg,Lark,Lark,100,75,Lark,75,1.098144
yes,Girl1_Lark_50.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,50,75,Clarendon,75,1.558921
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,25,100,Juno,25,1.64562
yes,Ocean_Clarendon_100.jpg,Ocean_Clarendon_50.jpg,Clarendon,Clarendon,100,50,Clarendon,50,1.190264
yes,Ocean_Juno_100.jpg,Ocean_Clarendon_25.jpg,Juno,Clarendon,100,25,Clarendon,25,1.06745
yes,Girl1_Juno_25.jpg,Girl1_Lark_100.jpg,Juno,Lark,25,100,Juno,25,5.377776
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,50,100,Clarendon,50,1.302702
