usage,image_a,image_b,filter_a,filter_b,coresp_filter_a,coresp_filter_b,intensity_a,intensity_b,selected_filter,coresp_selected_filter,selected_intensity,left_right,resptime
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,25,50,Clarendon,Clarendon,25,left,1.987603
yes,Girl1_Lark_50.jpg,Girl1_Juno_100.jpg,Lark,Juno,Lark,Juno,50,100,Juno,Juno,100,right,0.487908
yes,Girl1_Clarendon_100.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,Clarendon,Lark,100,25,Lark,Lark,25,right,1.183279
yes,Girl2_Juno_100.jpg,Girl2_Lark_100.jpg,Juno,Lark,Juno,Lark,100,100,Juno,Juno,100,left,0.744304
yes,Girl2_Lark_25.jpg,Girl2_Juno_25.jpg,Lark,Juno,Lark,Juno,25,25,Juno,Juno,25,right,0.590247
yes,Girl2_Clarendon_50.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,50,50,Clarendon,Clarendon,50,left,0.679887
yes,Girl2_Clarendon_25.jpg,Girl2_Juno_50.jpg,Clarendon,Juno,Clarendon,Juno,25,50,Juno,Juno,50,right,0.552124
yes,Girl2_OG.jpg,Girl2_Juno_25.jpg,OG,Juno,Juno,Juno,0,25,Juno,Juno,25,right,0.67919
yes,Girl1_Clarendon_75.jpg,Girl1_Clarendon_25.jpg,Clarendon,Clarendon,Clarendon,Clarendon,75,25,Clarendon,Clarendon,25,right,0.585791
yes,Girl1_Lark_50.jpg,Girl1_OG.jpg,Lark,OG,Lark,Lark,50,0,Lark,Lark,50,left,0.761066
yes,Girl1_Juno_100.jpg,Girl1_Juno_25.jpg,Juno,Juno,Juno,Juno,100,25,Juno,Juno,25,right,1.045815
yes,Girl1_Lark_25.jpg,Girl1_Juno_25.jpg,Lark,Juno,Lark,Juno,25,25,Lark,Lark,25,left,0.982871
yes,Girl2_Lark_100.jpg,Girl2_OG.jpg,Lark,OG,Lark,Lark,100,0,OG,Lark,0,right,0.678308
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,Clarendon,Lark,50,25,Lark,Lark,25,right,0.643591
yes,Girl2_Clarendon_50.jpg,Girl2_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,50,100,Juno,Juno,100,right,0.985941
yes,Girl2_Clarendon_75.jpg,Girl2_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,75,25,Juno,Juno,25,right,0.387247
yes,Girl1_Lark_50.jpg,Girl1_Lark_100.jpg,Lark,Lark,Lark,Lark,50,100,Lark,Lark,50,left,0.583791
yes,Girl2_Lark_75.jpg,Girl2_Clarendon_25.jpg,Lark,Clarendon,Lark,Clarendon,75,25,Clarendon,Clarendon,25,right,0.40671
yes,Girl2_Clarendon_50.jpg,Girl2_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,100,Clarendon,Clarendon,50,left,1.359384
yes,Girl2_Clarendon_75.jpg,Girl2_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,75,100,Lark,Lark,100,right,0.58447
yes,Girl2_Juno_75.jpg,Girl2_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,75,75,Juno,Juno,75,left,0.697161
yes,Girl1_Juno_25.jpg,Girl1_Lark_50.jpg,Juno,Lark,Juno,Lark,25,50,Juno,Juno,25,left,0.812157
yes,Girl2_OG.jpg,Girl2_Clarendon_75.jpg,OG,Clarendon,Clarendon,Clarendon,0,75,OG,Clarendon,0,left,0.761333
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,0.752103
yes,Girl2_Clarendon_100.jpg,Girl2_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,100,100,Lark,Lark,100,right,0.667205
yes,Girl1_Juno_75.jpg,Girl1_Lark_50.jpg,Juno,Lark,Juno,Lark,75,50,Lark,Lark,50,right,1.114338
yes,Girl1_Juno_75.jpg,Girl1_Juno_50.jpg,Juno,Juno,Juno,Juno,75,50,Juno,Juno,50,right,0.858513
yes,Girl2_Clarendon_75.jpg,Girl2_Clarendon_25.jpg,Clarendon,Clarendon,Clarendon,Clarendon,75,25,Clarendon,Clarendon,25,right,0.9725
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,Clarendon,Lark,25,25,Lark,Lark,25,right,0.90716
yes,Girl2_Clarendon_75.jpg,Girl2_Juno_50.jpg,Clarendon,Juno,Clarendon,Juno,75,50,Juno,Juno,50,right,1.32895
yes,Girl1_OG.jpg,Girl1_Clarendon_25.jpg,OG,Clarendon,Clarendon,Clarendon,0,25,OG,Clarendon,0,left,1.67509
yes,Girl2_Juno_100.jpg,Girl2_Juno_50.jpg,Juno,Juno,Juno,Juno,100,50,Juno,Juno,100,left,14.936
yes,Girl2_Juno_50.jpg,Girl2_Juno_25.jpg,Juno,Juno,Juno,Juno,50,25,Juno,Juno,25,right,1.265542
yes,Girl1_Lark_75.jpg,Girl1_Lark_25.jpg,Lark,Lark,Lark,Lark,75,25,Lark,Lark,25,right,0.787791
yes,Girl1_Clarendon_75.jpg,Girl1_OG.jpg,Clarendon,OG,Clarendon,Clarendon,75,0,OG,Clarendon,0,right,0.863787
yes,Girl2_Juno_75.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,0.889482
yes,Girl2_Juno_25.jpg,Girl2_Lark_75.jpg,Juno,Lark,Juno,Lark,25,75,Lark,Lark,75,right,0.562543
yes,Girl2_OG.jpg,Girl2_Juno_50.jpg,OG,Juno,Juno,Juno,0,50,Juno,Juno,50,right,1.443795
yes,Girl1_Lark_100.jpg,Girl1_OG.jpg,Lark,OG,Lark,Lark,100,0,OG,Lark,0,right,0.887985
yes,Girl1_Clarendon_75.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,75,50,Lark,Lark,50,right,1.026398
yes,Girl1_Lark_50.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,50,50,Lark,Lark,50,left,0.920197
yes,Girl2_Clarendon_25.jpg,Girl2_Clarendon_50.jpg,Clarendon,Clarendon,Clarendon,Clarendon,25,50,Clarendon,Clarendon,25,left,0.966572
